name,working,number,number2,address
333. 창덕궁 매표소 앞,운영중,10,4,서울특별시 종로구 창경궁로 185 창덕궁 매표소 앞
329. 청계2가 사거리 옆,운영중,8,5,서울특별시 종로구 청계천로 93 청계2가 사거리 옆
330. 청계천 한빛광장,운영중,10,1,서울특별시 중구 남대문로10길 33 삼각동 118
331. 을지로2가 사거리 북측,운영중,10,6,서울특별시 중구 을지로 79 을지로2가 사거리 북측
332. 을지로2가 사거리 남측,운영중,7,4,서울특별시 중구 을지로 100 을지로2가 사거리 남측
333. 창덕궁 매표소 앞,운영중,10,4,서울특별시 종로구 창경궁로 185 창덕궁 매표소 앞
334. 종로3가역 2번출구 뒤,운영중,10,11,서울특별시 종로구 종로 지하129 종로3가역 2번출구 뒤
335. 종로3가역 15번출구 앞,운영중,10,7,서울특별시 종로구 종로 지하129 15번출구 앞
336. 티마크 호텔 앞,운영중,6,5,서울특별시 중구 충무로 15 티마크호텔 앞
337. 창경궁 입구,운영중,5,5,서울특별시 종로구 창경궁로 185 창경궁 입구
338. 세운스퀘어 앞,운영중,8,5,서울특별시 종로구 창경궁로 109 세운스퀘어 앞
339. 종로4가 사거리,운영중,10,7,서울특별시 종로구 종로 185 종로4가 사거리
340. 혜화동 로터리,운영중,8,15,서울특별시 종로구 창경궁로 271-1 혜화동 로터리
341. 혜화역 3번출구 뒤,운영중,10,10,서울특별시 종로구 대학로 지하120 혜화역 3번출구 뒤
342. 대학로 마로니에공원,운영중,10,9,서울특별시 종로구 대학로 104 대학로 마로니에공원
343. 예일빌딩(율곡로) 앞,운영중,12,6,서울특별시 종로구 율곡로 238 예일빌딩(율곡로) 앞
344. 성균관대 E하우스 앞,운영중,10,6,서울특별시 종로구 율곡로 259 성균관대 E하우스 앞
345. 서울보증보험본사 앞,운영중,10,6,서울특별시 종로구 김상옥로 29 서울보증보험본사 앞
346. 맥스타일 앞,운영중,5,4,서울특별시 중구 마장로 3 맥스타일
400. 상암한화오벨리스크 1차 앞,운영중,15,11,서울특별시 마포구 구룡길 19 상암한화오벨리스크 1차 앞
401. 상암월드컵파크 10단지 앞,운영중,15,7,서울특별시 마포구 월드컵북로 502-36 상암월드컵파크 10단지 앞
402. 상암월드컵파크 9단지 앞,운영중,13,7,서울특별시 마포구 월드컵북로 501 상암월드컵파크 9단지 앞
403. 부엉이공원 앞,운영중,20,13,서울특별시 마포구 가양대로 189 부엉이근린공원 앞
405. DMC빌 앞,운영중,8,0,서울특별시 마포구 월드컵북로60길 13 DMC빌 앞
406. 상암월드컵파크 7단지 앞,운영중,8,5,서울특별시 마포구 상암산로1길 92 상암월드컵파크 7단지 앞
407. 마포구 육아종합지원센터,운영중,8,8,서울특별시 마포구 상암산로1길 71 마포구 육아보육정보센터 앞
408. LG CNS앞,운영중,13,1,서울특별시 마포구 월드컵북로 424 LG CNS앞
409. 누리꿈스퀘어 옆,운영중,25,0,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 옆
410. 상암중학교 옆,운영중,10,2,서울특별시 마포구 상암산로1길 26 상암중학교 옆
411. DMC홍보관,운영중,9,2,서울특별시 마포구 월드컵북로 366 DMC홍보관
412. DMC산학협력연구센터 앞,운영중,13,5,서울특별시 마포구 매봉산로 37 DMC산학협력연구센터 앞
413. 상암월드컵파크 3단지 후문,운영중,9,2,서울특별시 마포구 매봉산로 8 상암월드컵파크 3단지 후문
414. 상암동주민센터 옆,운영중,8,1,서울특별시 마포구 매봉산로2길 16 상암동주민센터 옆
415. DMC역 9번출구 앞,운영중,10,7,서울특별시 마포구 성암로 지하184 디지털미디어시티역 9번출구 앞
416. 상암월드컵파크 1단지 교차로,운영중,10,3,서울특별시 마포구 월드컵북로 502-7 상암월드컵파크 1단지
417. DMC역 2번출구 옆,운영중,20,13,서울특별시 은평구 수색로 지하175 디지털미디어시티역 2번출구 앞
418. 월드컵경기장역 3번출구 옆,운영중,10,3,서울특별시 마포구 월드컵로 지하240 1
419. 홈플러스 앞,운영중,21,16,서울특별시 영등포구 당산로 42 1
420. 서울시 공공자전거 운영센터 옆,운영중,40,38,서울특별시 마포구 월드컵북로47길 10 1
421. 마포구청 앞,운영중,8,6,서울특별시 마포구 월드컵로 212 1
500. 어린이대공원역 3번출구 앞,운영중,10,10,서울특별시 광진구 능동로 지하210 어린이대공원역 3번출구 앞
501. 광진구의회 앞,운영중,15,15,서울특별시 광진구 능동로 76 광진구의회 앞
502. 뚝섬유원지역 1번출구 앞,운영중,15,14,서울특별시 광진구 능동로 10 뚝섬유원지역 1번출구 앞
503. 더샵스타시티 C동 앞,운영중,15,8,서울특별시 광진구 아차산로 262 더샵스타시티 C동 앞
504. 신자초교입구교차로,운영중,5,0,서울특별시 광진구 뚝섬로 596 신자초교입구교차로
505. 자양사거리 광진아크로텔 앞,운영중,10,5,서울특별시 광진구 아차산로 355 타워더모스트 광진아크로텔
