"","name","working","number","number2","address","lon","lat"
"72","307. 서울역사박물관 앞","운영중",11,5,"서울특별시 종로구 새문안로 55 서울역사박물관 앞",126.9724165,37.5696899
"73","308. 광화문 S타워 앞","운영중",10,6,"서울특별시 종로구 새문안로 82 광화문S타워 앞",126.9724165,37.5696899
"74","309. 광화문역 6번출구 옆","운영중",13,6,"서울특별시 종로구 세종대로 지하172 광화문역 6번출구 옆",126.9771833,37.5722304
"75","310. 청계광장 옆","운영중",10,3,"서울특별시 중구 세종대로 136 청계광장 옆",126.9752957,37.5624945
"76","311. 서울광장 옆","운영중",20,10,"서울특별시 중구 을지로 지하12 서울광장 옆",126.9913019,37.5667292
"77","312. 시청역 1번출구 뒤","운영중",7,2,"서울특별시 중구 세종대로 지하101 1번출구 뒤",126.9752957,37.5624945
"78","313. 서울역 광장 파출소 옆","운영중",5,4,"서울특별시 중구 통일로 13 서울역 광장 파출소 옆",126.9711197,37.5596928
"79","314. 국립현대미술관","운영중",10,7,"서울특별시 종로구 삼청로 30 국립현대미술관 서울관",126.9810261,37.5829548
"80","315. 신한은행 안국역지점 옆","운영중",4,1,"서울특별시 종로구 율곡로 33 신한은행 안국역지점 옆",126.9981589,37.574971
"81","316. 종각역 1번출구 앞","운영중",8,2,"서울특별시 종로구 종로 47 종각역 1번출구 앞",127.0043274,37.5719416
"82","318. 광교사거리 남측","운영중",10,9,"서울특별시 중구 청계천로 30 광교사거리 남측",127.0006446,37.5687838
"83","320. 을지로입구역 4번출구 앞","운영중",8,5,"서울특별시 중구 을지로 지하42 을지로입구역 4번출구 앞",126.9913019,37.5667292
"84","321. 한국외환은행 본점 앞","운영중",15,4,"서울특별시 중구 을지로 66 한국외환은행 본점 앞",126.9849538,37.5653249
"85","322. 명동성당 앞","운영중",15,8,"서울특별시 중구 명동길 74 명동성당 앞",126.9848959,37.5636048
"86","323. 서울 중앙우체국 앞","운영중",3,2,"서울특별시 중구 소공로 70 서울중앙우체국 앞",126.9818186,37.5605557
"87","324. 신세계백화점 본점 앞","운영중",7,7,"서울특별시 중구 퇴계로 77 신세계백화점 본점 앞",126.9945971,37.5609724
"88","326. 안국역 5번출구 앞","운영중",20,17,"서울특별시 종로구 율곡로 지하62 안국역 5번출구 앞",126.9981589,37.574971
"89","327. 낙원상가 옆","운영중",10,6,"서울특별시 종로구 삼일대로 428 낙원상가 옆",126.9871487,37.5731932
"90","328. 탑골공원 앞","운영중",8,6,"서울특별시 종로구 종로 99 탑골공원 앞",127.0043274,37.5719416
"91","329. 청계2가 사거리 옆","운영중",8,5,"서울특별시 종로구 청계천로 93 청계2가 사거리 옆",127.0044254,37.5701915
"92","330. 청계천 한빛광장","운영중",10,1,"서울특별시 중구 남대문로10길 33 삼각동 118",126.9836227,37.5672335
"93","331. 을지로2가 사거리 북측","운영중",10,6,"서울특별시 중구 을지로 79 을지로2가 사거리 북측",NA,NA
"94","332. 을지로2가 사거리 남측","운영중",7,4,"서울특별시 중구 을지로 100 을지로2가 사거리 남측",NA,NA
"95","333. 창덕궁 매표소 앞","운영중",10,4,"서울특별시 종로구 창경궁로 185 창덕궁 매표소 앞",127.0006967,37.5804748
"96","329. 청계2가 사거리 옆","운영중",8,5,"서울특별시 종로구 청계천로 93 청계2가 사거리 옆",127.0044254,37.5701915
"97","330. 청계천 한빛광장","운영중",10,1,"서울특별시 중구 남대문로10길 33 삼각동 118",126.9836227,37.5672335
"98","331. 을지로2가 사거리 북측","운영중",10,6,"서울특별시 중구 을지로 79 을지로2가 사거리 북측",NA,NA
"99","332. 을지로2가 사거리 남측","운영중",7,4,"서울특별시 중구 을지로 100 을지로2가 사거리 남측",NA,NA
"100","333. 창덕궁 매표소 앞","운영중",10,4,"서울특별시 종로구 창경궁로 185 창덕궁 매표소 앞",127.0006967,37.5804748
"101","334. 종로3가역 2번출구 뒤","운영중",10,11,"서울특별시 종로구 종로 지하129 종로3가역 2번출구 뒤",127.0043274,37.5719416
"102","335. 종로3가역 15번출구 앞","운영중",10,7,"서울특별시 종로구 종로 지하129 15번출구 앞",127.0043274,37.5719416
"103","336. 티마크 호텔 앞","운영중",6,5,"서울특별시 중구 충무로 15 티마크호텔 앞",126.9925921,37.5625466
"104","337. 창경궁 입구","운영중",5,5,"서울특별시 종로구 창경궁로 185 창경궁 입구",127.0006967,37.5804748
"105","338. 세운스퀘어 앞","운영중",8,5,"서울특별시 종로구 창경궁로 109 세운스퀘어 앞",126.9970659,37.5717942
"106","339. 종로4가 사거리","운영중",10,7,"서울특별시 종로구 종로 185 종로4가 사거리",127.0043274,37.5719416
"107","340. 혜화동 로터리","운영중",8,15,"서울특별시 종로구 창경궁로 271-1 혜화동 로터리",127.0009113,37.5805057
"108","341. 혜화역 3번출구 뒤","운영중",10,10,"서울특별시 종로구 대학로 지하120 혜화역 3번출구 뒤",127.0020331,37.5769696
"109","342. 대학로 마로니에공원","운영중",10,9,"서울특별시 종로구 대학로 104 대학로 마로니에공원",127.0020331,37.5769696
"110","343. 예일빌딩(율곡로) 앞","운영중",12,6,"서울특별시 종로구 율곡로 238 예일빌딩(율곡로) 앞",126.9981589,37.574971
"111","344. 성균관대 E하우스 앞","운영중",10,6,"서울특별시 종로구 율곡로 259 성균관대 E하우스 앞",126.9981589,37.574971
"112","345. 서울보증보험본사 앞","운영중",10,6,"서울특별시 종로구 김상옥로 29 서울보증보험본사 앞",127.0025062,37.5734426
"113","346. 맥스타일 앞","운영중",5,4,"서울특별시 중구 마장로 3 맥스타일",127.018501,37.5681271
"114","400. 상암한화오벨리스크 1차 앞","운영중",15,11,"서울특별시 마포구 구룡길 19 상암한화오벨리스크 1차 앞",126.8824206,37.588972
"115","401. 상암월드컵파크 10단지 앞","운영중",15,7,"서울특별시 마포구 월드컵북로 502-36 상암월드컵파크 10단지 앞",126.884894,37.580892
"116","402. 상암월드컵파크 9단지 앞","운영중",13,7,"서울특별시 마포구 월드컵북로 501 상암월드컵파크 9단지 앞",126.8871445,37.5795875
"117","403. 부엉이공원 앞","운영중",20,13,"서울특별시 마포구 가양대로 189 부엉이근린공원 앞",126.8727762,37.579261
"118","405. DMC빌 앞","운영중",8,0,"서울특별시 마포구 월드컵북로60길 13 DMC빌 앞",126.8855555,37.5829224
"119","406. 상암월드컵파크 7단지 앞","운영중",8,5,"서울특별시 마포구 상암산로1길 92 상암월드컵파크 7단지 앞",126.8855062,37.5802531
"120","407. 마포구 육아종합지원센터","운영중",8,8,"서울특별시 마포구 상암산로1길 71 마포구 육아보육정보센터 앞",126.8861357,37.5788558
"121","408. LG CNS앞","운영중",13,1,"서울특별시 마포구 월드컵북로 424 LG CNS앞",126.9029931,37.5697271
"122","409. 누리꿈스퀘어 옆","운영중",25,0,"서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 옆",126.9029931,37.5697271
"123","410. 상암중학교 옆","운영중",10,2,"서울특별시 마포구 상암산로1길 26 상암중학교 옆",126.8861357,37.5788558
"124","411. DMC홍보관","운영중",9,2,"서울특별시 마포구 월드컵북로 366 DMC홍보관",126.9029931,37.5697271
"125","412. DMC산학협력연구센터 앞","운영중",13,5,"서울특별시 마포구 매봉산로 37 DMC산학협력연구센터 앞",126.8905316,37.5760093
"126","413. 상암월드컵파크 3단지 후문","운영중",9,2,"서울특별시 마포구 매봉산로 8 상암월드컵파크 3단지 후문",126.8907282,37.574837
"127","414. 상암동주민센터 옆","운영중",8,1,"서울특별시 마포구 매봉산로2길 16 상암동주민센터 옆",126.8956667,37.5773826
"128","415. DMC역 9번출구 앞","운영중",10,7,"서울특별시 마포구 성암로 지하184 디지털미디어시티역 9번출구 앞",126.9035854,37.5740931
"129","416. 상암월드컵파크 1단지 교차로","운영중",10,3,"서울특별시 마포구 월드컵북로 502-7 상암월드컵파크 1단지",126.8928108,37.5750315
"130","417. DMC역 2번출구 옆","운영중",20,13,"서울특별시 은평구 수색로 지하175 디지털미디어시티역 2번출구 앞",126.8932739,37.5836106
"131","418. 월드컵경기장역 3번출구 옆","운영중",10,3,"서울특별시 마포구 월드컵로 지하240 1",126.9058128,37.5593963
"132","419. 홈플러스 앞","운영중",21,16,"서울특별시 영등포구 당산로 42 1",126.8996723,37.5254543
"133","420. 서울시 공공자전거 운영센터 옆","운영중",40,38,"서울특별시 마포구 월드컵북로47길 10 1",126.891839,37.5744379
"134","421. 마포구청 앞","운영중",8,6,"서울특별시 마포구 월드컵로 212 1",126.9058372,37.5583121
"135","500. 어린이대공원역 3번출구 앞","운영중",10,10,"서울특별시 광진구 능동로 지하210 어린이대공원역 3번출구 앞",127.0759024,37.5486706
"136","501. 광진구의회 앞","운영중",15,15,"서울특별시 광진구 능동로 76 광진구의회 앞",127.0759024,37.5486706
"137","502. 뚝섬유원지역 1번출구 앞","운영중",15,14,"서울특별시 광진구 능동로 10 뚝섬유원지역 1번출구 앞",127.0759024,37.5486706
"138","503. 더샵스타시티 C동 앞","운영중",15,8,"서울특별시 광진구 아차산로 262 더샵스타시티 C동 앞",127.0873849,37.5417175
"139","504. 신자초교입구교차로","운영중",5,0,"서울특별시 광진구 뚝섬로 596 신자초교입구교차로",127.0762396,37.5341694
"140","505. 자양사거리 광진아크로텔 앞","운영중",10,5,"서울특별시 광진구 아차산로 355 타워더모스트 광진아크로텔",127.0873849,37.5417175
"141","506. 금호 어울림 아파트 앞","운영중",7,4,"서울특별시 성동구 광나루로 249 송정금호어울림 아파트 앞",127.0510695,37.549678
"142","507. 성수아이에스비즈타워 앞","운영중",7,3,"서울특별시 성동구 성수이로 147 아이에스비즈타워 앞",127.0564225,37.5429302
"143","508. 성수아카데미타워 앞","운영중",10,4,"서울특별시 성동구 성수이로 118 라성아카데미타워 앞",127.0564225,37.5429302
"144","509. 이마트 버스정류소 옆","운영중",20,17,"서울특별시 성동구 뚝섬로 379 이마트 버스정류소 옆",127.05097,37.5393129
"145","510. 서울숲 남문 버스정류소 옆","운영중",10,7,"서울특별시 성동구 왕십리로11길 9 서울숲남문 버스정류소 옆",127.043004,37.5489964
"146","511. 서울숲역 4번 출구 옆","운영중",16,8,"서울특별시 성동구 왕십리로 지하77 서울숲역 4번 출구 옆",127.0367427,37.5549336
"147","512. 뚝섬역 1번 출구 옆","운영중",15,10,"서울특별시 성동구 아차산로 18 뚝섬역 1번 출구 옆",127.0534601,37.5453675
"148","513. 뚝섬역 5번 출구 정류소 옆","운영중",8,4,"서울특별시 성동구 아차산로 18 뚝섬역 5번 출구 정류소 옆",127.0534601,37.5453675
"149","514. 성수사거리 버스정류장 앞","운영중",7,4,"서울특별시 성동구 아차산로 171 성수사거리 버스정류장 앞",127.0534601,37.5453675
"150","515. 광양중학교 앞","운영중",10,8,"서울특별시 광진구 자양로3길 7 광양중학교 앞",127.0844151,37.5302564
"151","516. 광진메디컬 앞","운영중",10,8,"서울특별시 광진구 광나루로 355 광진메디컬앞",127.0793223,37.5460406
